zero,empty_slots,free_bikes,latitude,longitude,distance,venue,address,city,review_count,rating
0,4,5,55.858167,-4.245483,0,0,0,0,0,0
0,4,7,55.878278,-4.288487,0,0,0,0,0,0
0,3,1,55.864788,-4.271852,0,0,0,0,0,0
0,0,1,55.862983,-4.241,0,0,0,0,0,0
0,4,4,55.8525,-4.25885,0,0,0,0,0,0
0,3,18,55.857575,-4.249976,0,0,0,0,0,0
0,5,0,55.865817,-4.251367,0,0,0,0,0,0
0,5,7,55.846515,-4.208477,0,0,0,0,0,0
0,0,13,55.848939,-4.226823,0,0,0,0,0,0
0,2,9,55.850554,-4.248127,0,0,0,0,0,0
0,4,6,55.85378,-4.279158,0,0,0,0,0,0
0,3,5,55.829057,-4.282675,0,0,0,0,0,0
0,3,6,55.827371,-4.29567,0,0,0,0,0,0
0,4,4,55.863128,-4.210282,0,0,0,0,0,0
0,3,5,55.858222,-4.213473,0,0,0,0,0,0
0,0,8,55.854391,-4.274764,0,0,0,0,0,0
0,5,2,55.865291,-4.261756,0,0,0,0,0,0
0,0,2,55.827282,-4.259255,0,0,0,0,0,0
0,5,3,55.877822,-4.254817,0,0,0,0,0,0
0,4,4,55.878787,-4.26877,0,0,0,0,0,0
0,8,0,55.8849,-4.281414,0,0,0,0,0,0
0,3,9,55.881493,-4.254465,0,0,0,0,0,0
0,1,8,55.852705,-4.201594,0,0,0,0,0,0
0,4,4,55.85658,-4.26887,0,0,0,0,0,0
0,3,5,55.85586,-4.24695,0,0,0,0,0,0
0,1,6,55.871029,-4.321625,0,0,0,0,0,0
0,5,3,55.876975,-4.306222,0,0,0,0,0,0
0,0,12,55.85476,-4.25164,0,0,0,0,0,0
0,1,7,55.864132,-4.259101,0,0,0,0,0,0
0,6,1,55.870992,-4.260426,0,0,0,0,0,0
0,3,5,55.858123,-4.224511,0,0,0,0,0,0
0,4,2,55.860633,-4.2419,0,0,0,0,0,0
0,0,9,55.84945,-4.23375,0,0,0,0,0,0
0,3,19,55.86155,-4.2494,0,0,0,0,0,0
0,4,5,55.871367,-4.269117,0,0,0,0,0,0
0,9,1,55.841494,-4.269701,0,0,0,0,0,0
0,0,8,55.840336,-4.135251,0,0,0,0,0,0
0,5,3,55.890398,-4.324766,0,0,0,0,0,0
0,4,3,55.86077,-4.264535,0,0,0,0,0,0
0,8,6,55.8566,-4.263521,0,0,0,0,0,0
0,6,2,55.87501,-4.280371,0,0,0,0,0,0
0,4,0,55.868352,-4.289405,0,0,0,0,0,0
0,2,8,55.859716,-4.251945,0,0,0,0,0,0
0,8,1,55.871763,-4.27807,0,0,0,0,0,0
0,0,17,55.869707,-4.308459,0,0,0,0,0,0
0,1,8,55.863422,-4.280677,0,0,0,0,0,0
0,0,6,55.855152,-4.235294,0,0,0,0,0,0
0,2,8,55.834976,-4.265485,0,0,0,0,0,0
0,4,4,55.835042,-4.272346,0,0,0,0,0,0
0,0,7,55.883971,-4.31046,0,0,0,0,0,0
0,7,1,55.864563,-4.270055,0,0,0,0,0,0
0,7,1,55.865222,-4.286127,0,0,0,0,0,0
0,2,16,55.842561,-4.217704,0,0,0,0,0,0
0,8,5,55.853194,-4.246983,0,0,0,0,0,0
0,0,10,55.855185,-4.273478,0,0,0,0,0,0
0,1,10,55.827395,-4.265319,0,0,0,0,0,0
0,0,18,55.850987,-4.301448,0,0,0,0,0,0
0,5,3,55.845518,-4.286476,0,0,0,0,0,0
0,0,11,55.882232,-4.230428,0,0,0,0,0,0
0,7,1,55.817338,-4.262688,0,0,0,0,0,0
0,3,7,55.836355,-4.335149,0,0,0,0,0,0
0,2,6,55.867405,-4.192788,0,0,0,0,0,0
0,6,2,55.891127,-4.290879,0,0,0,0,0,0
0,0,13,55.848564,-4.250996,0,0,0,0,0,0
0,3,15,55.860776,-4.258597,0,0,0,0,0,0
0,0,11,55.862102,-4.252307,0,0,0,0,0,0
0,10,0,55.864993,-4.252567,0,0,0,0,0,0
0,0,14,55.845807,-4.275232,0,0,0,0,0,0
0,0,18,55.863,-4.311378,0,0,0,0,0,0
0,0,6,55.849072,-4.314376,0,0,0,0,0,0
0,4,2,55.86698,-4.278874,0,0,0,0,0,0
0,7,1,55.87422,-4.26136,0,0,0,0,0,0
0,3,3,55.874555,-4.333357,0,0,0,0,0,0
0,3,1,55.865683,-4.305367,0,0,0,0,0,0
0,0,9,55.84425,-4.176167,0,0,0,0,0,0
0,0,7,55.859081,-4.287211,0,0,0,0,0,0
0,0,25,55.8585,-4.292972,0,0,0,0,0,0
0,8,1,55.865063,-4.260291,0,0,0,0,0,0
0,0,11,55.848885,-4.20064,0,0,0,0,0,0
0,4,4,55.886934,-4.285022,0,0,0,0,0,0
0,4,4,55.831951,-4.277989,0,0,0,0,0,0
0,5,3,55.864135,-4.292988,0,0,0,0,0,0
0,1,7,55.858587,-4.259847,0,0,0,0,0,0
0,4,3,55.875061,-4.270678,0,0,0,0,0,0
0,2,7,55.856859,-4.255593,0,0,0,0,0,0
0,3,8,55.85196,-4.294538,0,0,0,0,0,0
0,3,9,55.843308,-4.26217,0,0,0,0,0,0
0,10,0,55.872774,-4.292135,0,0,0,0,0,0
0,2,6,55.862672,-4.341751,0,0,0,0,0,0
0,8,0,55.864472,-4.223208,0,0,0,0,0,0
0,0,9,55.829914,-4.306877,0,0,0,0,0,0
0,0,7,55.840988,-4.289947,0,0,0,0,0,0
0,0,11,55.827974,-4.247278,0,0,0,0,0,0
0,1,5,55.870857,-4.300665,0,0,0,0,0,0
0,2,4,55.890389,-4.216525,0,0,0,0,0,0
0,0,5,55.837175,-4.170209,0,0,0,0,0,0
0,0,7,55.875431,-4.342325,0,0,0,0,0,0
0,5,0,55.859996,-4.270163,0,0,0,0,0,0
0,3,7,55.846552,-4.332797,0,0,0,0,0,0
0,1,4,55.855961,-4.244671,0,0,0,0,0,0
0,4,3,55.862973,-4.237745,0,0,0,0,0,0
0,4,4,55.878152,-4.242439,0,0,0,0,0,0
0,0,0,55.854474,-4.246063,416,Billy Bilsland Cycles,"176 Saltmarket, Glasgow, Glasgow City, G1 5LA",0,0,0
0,0,0,55.853371,-4.24694,563,Nextbike 8460 - Glasgow Green - Saltmarket / Clyde Place,"Clyde St, Glasgow, Glasgow City, G1 5JT",0,0,0
0,0,0,55.856679,-4.255449,645,Nextbike 8410 - St Enoch Square,"St Enoch Square, Glasgow, Glasgow City, G1 4EE",0,0,0
0,0,0,55.852328,-4.241199,677,Glasgow Green,"Greendyke St, Glasgow, Glasgow City, G1 5DB",0,0,0
0,0,0,55.863443,-4.254147,801,Evans Cycles,"19 Bath St, Glasgow, Glasgow City, G2 1HY",0,0,0
0,0,0,55.855875,-4.239028,846,Philip Lang Cycles,"163 Gallowgate, Glasgow, Glasgow City, G1 5ED",0,0,0
0,0,0,55.860406,-4.257524,0,Alston Bar & Beef,"79 Gordon St, Glasgow, Glasgow City, G1 3SQ",Glasgow City,0,0
0,0,0,55.850907,-4.233765,0,"WEST Brewery, Bar & Restaurant","Templeton Building, Glasgow Green (1 The Green), Glasgow, Glasgow City, G40 1AW",Glasgow City,0,0
0,0,0,55.859601,-4.252244,0,Tempo Tea Bar,"83 Queen St, Glasgow, Glasgow City, G1 3DA",Glasgow City,0,0
0,0,0,55.860611,-4.255778,0,Riverhill Coffee Bar,"24 Gordon St, Glasgow, Glasgow City, G1 3PU",Glasgow City,0,0
0,0,0,55.859437,-4.252344,0,Max's Bar and Grill,"73 Queen St, Glasgow, Glasgow City, G1 3BZ",Glasgow City,0,0
0,0,0,55.865492,-4.266265,0,The State Bar,"148-148A Holland St, Glasgow, Glasgow City, G2 4NG",Glasgow City,0,0
0,0,0,55.861154,-4.252712,0,The Citizen Bar & Dining Rooms,"24 St Vincent Pl, Glasgow, Glasgow City, G1 2EU",Glasgow City,0,0
0,0,0,55.864974,-4.264251,0,Tiki Bar & Kitsch Inn,"214 Bath St, Glasgow, Glasgow City, G2 4HW",Glasgow City,0,0
0,0,0,55.86363,-4.26011,0,Meat Bar,"142 West Regent St, Glasgow, G2 2RQ",0,0,0
0,0,0,55.864532,-4.25814,0,Malone's Irish Bar,"57-59 Sauchiehall Lane, Glasgow, Glasgow City, G2 4AB",Glasgow City,0,0
0,0,0,55.8635606,-4.2540078,413.7465536,Evans Cycles,"['19 Bath Street', 'Glasgow G2 1HY', 'United Kingdom']",Glasgow,5,3
0,0,0,55.864237,-4.251806,555.6765868,Nextbike,"['Glasgow', 'United Kingdom']",Glasgow,7,4.5
0,0,0,55.867715,-4.248342,997.0965474,Dales Cycles,"['150 Dobbies Loan', 'Glasgow G4 0JE', 'United Kingdom']",Glasgow,11,2.5
0,0,0,55.85797,-4.250447,510.2197578,Sports Direct,"['28-32 Argyle Street', 'Glasgow G2 8AD', 'United Kingdom']",Glasgow,7,2.5
0,0,0,55.854561,-4.246191,973.2630268,Billy Bilsland Cycles,"['176 Saltmarket', 'Glasgow G1 5LA', 'United Kingdom']",Glasgow,3,4.5
0,0,0,55.867313,-4.24525,1114.812405,Tiso Glasgow Outdoor Experience,"['50 Couper Street', 'Glasgow G4 0DL', 'United Kingdom']",Glasgow,15,4.5
0,0,0,55.864026,-4.27159,971.6471794,West Coast Harley Davidson,"['147-151 North St', 'Glasgow G3 7DA', 'United Kingdom']",Glasgow,8,2.5
0,0,0,55.8634033,-4.2605878,384.226689,5th Blocker Skates,"['143 W Regent Street', 'Glasgow G2 2SG', 'United Kingdom']",Glasgow,3,5
0,0,0,55.87491461,-4.293247454,0,Ubiquitous Chip,0,Glasgow,152,4.5
0,0,0,55.86419597,-4.260933399,0,The Butterfly and the Pig,0,Glasgow,257,4.5
0,0,0,55.8635876,-4.2578579,0,Rufus T Firefly,0,Glasgow,32,3.5
0,0,0,55.855316,-4.2503,0,Scotia Bar,0,Glasgow,27,4
0,0,0,55.872544,-4.282411,0,Stravaigin,0,Glasgow,98,4.5
0,0,0,55.860826,-4.256445,0,Horseshoe Bar,0,Glasgow,27,4
0,0,0,55.8652266,-4.2858285,0,The Ben Nevis,0,Glasgow,36,4.5
0,0,0,55.8712831,-4.3006374,0,The Sparkle Horse,0,Glasgow,44,4
0,0,0,55.87740533,-4.289216995,0,Oran Mor,0,Glasgow,130,3.5
0,0,0,55.86386577,-4.281027756,0,The Brass Monkey,0,Glasgow,18,4
0,0,0,55.865029,-4.265696,0,Mini Grill,0,Glasgow,25,4.5
0,0,0,55.86144097,-4.256622791,0,The Drum and Monkey,0,Glasgow,48,4
0,0,0,55.86466738,-4.256873615,0,Walkabout,0,Glasgow,44,2.5
0,0,0,55.8640231,-4.2814909,0,Lebowskis,0,Glasgow,63,4
0,0,0,55.865734,-4.2769,0,McPhabbs,0,Glasgow,47,4
0,0,0,55.860349,-4.2593642,0,The Smokin' Fox,0,Glasgow,5,4.5
0,0,0,55.8583053,-4.2440447,0,Home,0,Glasgow,25,3.5
0,0,0,55.8658501,-4.2660387,0,Bar Budda,0,Glasgow,18,3.5
0,0,0,55.8593557,-4.2480296,0,BrewDog DogHouse,0,Glasgow,48,4.5
0,0,0,55.87402727,-4.301816784,0,Cottier's,0,Glasgow,38,3.5
0,0,0,55.8632813,-4.2561755,0,The Raven,0,Glasgow,53,4
0,0,0,55.86014405,-4.233712567,0,Drygate Brewing Co,0,Glasgow,82,4
0,0,0,55.8754227,-4.29336391,0,The Curler's Rest,0,Glasgow,77,3.5
0,0,0,55.865937,-4.269321,0,Variety Bar,0,Glasgow,23,4
