,empty_slots,free_bikes,latitude,longitude,distance,venue,address,City,review_count,rating
70,6.0,0.0,55.86698,-4.278874,0.0,0,0,0,0.0,0.0
71,8.0,0.0,55.87422,-4.26136,0.0,0,0,0,0.0,0.0
72,2.0,4.0,55.874555,-4.333357,0.0,0,0,0,0.0,0.0
73,3.0,1.0,55.865683,-4.305367,0.0,0,0,0,0.0,0.0
74,0.0,8.0,55.84425,-4.176167,0.0,0,0,0,0.0,0.0
75,0.0,15.0,55.859081,-4.287211,0.0,0,0,0,0.0,0.0
76,0.0,20.0,55.8585,-4.292972,0.0,0,0,0,0.0,0.0
77,8.0,0.0,55.865063,-4.260291,0.0,0,0,0,0.0,0.0
78,0.0,13.0,55.848885,-4.20064,0.0,0,0,0,0.0,0.0
79,8.0,0.0,55.886934,-4.285022,0.0,0,0,0,0.0,0.0
80,2.0,7.0,55.831951,-4.277989,0.0,0,0,0,0.0,0.0
81,2.0,6.0,55.864135,-4.292988,0.0,0,0,0,0.0,0.0
82,5.0,3.0,55.858587,-4.259847,0.0,0,0,0,0.0,0.0
83,4.0,3.0,55.875061,-4.270678,0.0,0,0,0,0.0,0.0
84,1.0,8.0,55.856859,-4.255593,0.0,0,0,0,0.0,0.0
85,0.0,12.0,55.85196,-4.294538,0.0,0,0,0,0.0,0.0
86,5.0,1.0,55.843308,-4.26217,0.0,0,0,0,0.0,0.0
87,9.0,1.0,55.872774,-4.292135,0.0,0,0,0,0.0,0.0
88,1.0,7.0,55.862672,-4.341751,0.0,0,0,0,0.0,0.0
89,4.0,4.0,55.864472,-4.223208,0.0,0,0,0,0.0,0.0
90,1.0,5.0,55.829914,-4.306877,0.0,0,0,0,0.0,0.0
91,0.0,7.0,55.840988,-4.289947,0.0,0,0,0,0.0,0.0
92,0.0,8.0,55.827974,-4.247278,0.0,0,0,0,0.0,0.0
93,0.0,8.0,55.870857,-4.300665,0.0,0,0,0,0.0,0.0
94,1.0,5.0,55.890389,-4.216525,0.0,0,0,0,0.0,0.0
95,0.0,4.0,55.837175,-4.170209,0.0,0,0,0,0.0,0.0
96,0.0,8.0,55.875431,-4.342325,0.0,0,0,0,0.0,0.0
97,4.0,1.0,55.859996,-4.270163,0.0,0,0,0,0.0,0.0
98,2.0,8.0,55.846552,-4.332797,0.0,0,0,0,0.0,0.0
99,0.0,6.0,55.855961,-4.244671,0.0,0,0,0,0.0,0.0
100,4.0,1.0,55.862973,-4.237745,0.0,0,0,0,0.0,0.0
101,8.0,0.0,55.878152,-4.242439,0.0,0,0,0,0.0,0.0
0,0.0,0.0,55.854474,-4.246063,416.0,Billy Bilsland Cycles,"176 Saltmarket, Glasgow, Glasgow City, G1 5LA",0,0.0,0.0
1,0.0,0.0,55.853371,-4.24694,563.0,Nextbike 8460 - Glasgow Green - Saltmarket / Clyde Place,"Clyde St, Glasgow, Glasgow City, G1 5JT",0,0.0,0.0
2,0.0,0.0,55.856679,-4.255449,645.0,Nextbike 8410 - St Enoch Square,"St Enoch Square, Glasgow, Glasgow City, G1 4EE",0,0.0,0.0
3,0.0,0.0,55.852328,-4.241199,677.0,Glasgow Green,"Greendyke St, Glasgow, Glasgow City, G1 5DB",0,0.0,0.0
4,0.0,0.0,55.863443,-4.254147,801.0,Evans Cycles,"19 Bath St, Glasgow, Glasgow City, G2 1HY",0,0.0,0.0
5,0.0,0.0,55.855875,-4.239028,846.0,Philip Lang Cycles,"163 Gallowgate, Glasgow, Glasgow City, G1 5ED",0,0.0,0.0
0,0.0,0.0,55.860406,-4.257524,0.0,Alston Bar & Beef,"79 Gordon St, Glasgow, Glasgow City, G1 3SQ",Glasgow City,0.0,0.0
1,0.0,0.0,55.850907,-4.233765,0.0,"WEST Brewery, Bar & Restaurant","Templeton Building, Glasgow Green (1 The Green), Glasgow, Glasgow City, G40 1AW",Glasgow City,0.0,0.0
2,0.0,0.0,55.859601,-4.252244,0.0,Tempo Tea Bar,"83 Queen St, Glasgow, Glasgow City, G1 3DA",Glasgow City,0.0,0.0
3,0.0,0.0,55.860611,-4.255778,0.0,Riverhill Coffee Bar,"24 Gordon St, Glasgow, Glasgow City, G1 3PU",Glasgow City,0.0,0.0
4,0.0,0.0,55.859437,-4.252344,0.0,Max's Bar and Grill,"73 Queen St, Glasgow, Glasgow City, G1 3BZ",Glasgow City,0.0,0.0
5,0.0,0.0,55.865492,-4.266265,0.0,The State Bar,"148-148A Holland St, Glasgow, Glasgow City, G2 4NG",Glasgow City,0.0,0.0
6,0.0,0.0,55.861154,-4.252712,0.0,The Citizen Bar & Dining Rooms,"24 St Vincent Pl, Glasgow, Glasgow City, G1 2EU",Glasgow City,0.0,0.0
7,0.0,0.0,55.864974,-4.264251,0.0,Tiki Bar & Kitsch Inn,"214 Bath St, Glasgow, Glasgow City, G2 4HW",Glasgow City,0.0,0.0
8,0.0,0.0,55.86363,-4.26011,0.0,Meat Bar,"142 West Regent St, Glasgow, G2 2RQ",0,0.0,0.0
9,0.0,0.0,55.864532,-4.25814,0.0,Malone's Irish Bar,"57-59 Sauchiehall Lane, Glasgow, Glasgow City, G2 4AB",Glasgow City,0.0,0.0
0,0.0,0.0,55.8635606,-4.2540078,413.74655357654154,Evans Cycles,"['19 Bath Street', 'Glasgow G2 1HY', 'United Kingdom']",Glasgow,5.0,3.0
1,0.0,0.0,55.864237,-4.251806,555.6765868110531,Nextbike,"['Glasgow', 'United Kingdom']",Glasgow,7.0,4.5
2,0.0,0.0,55.867715,-4.248342,997.0965473896417,Dales Cycles,"['150 Dobbies Loan', 'Glasgow G4 0JE', 'United Kingdom']",Glasgow,11.0,2.5
3,0.0,0.0,55.85797,-4.250447,510.2197577650133,Sports Direct,"['28-32 Argyle Street', 'Glasgow G2 8AD', 'United Kingdom']",Glasgow,7.0,2.5
4,0.0,0.0,55.854561,-4.246191,973.2630267855757,Billy Bilsland Cycles,"['176 Saltmarket', 'Glasgow G1 5LA', 'United Kingdom']",Glasgow,3.0,4.5
5,0.0,0.0,55.867313,-4.24525,1114.8124053962251,Tiso Glasgow Outdoor Experience,"['50 Couper Street', 'Glasgow G4 0DL', 'United Kingdom']",Glasgow,15.0,4.5
